id_tanaman,nama_daun,harga,butuh,satuan,nama_toko,url
12,Sereh Segar Palembang,4900,250,gram,Sayur Segar Palembang,https://www.tokopedia.com/sayursegarpalembang/sereh-per-ikat-sayur-segar-palembang?extParam=ivf%3Dfalse%26src%3Dsearch
12,Serai Segar Sereh,6000,250,gram,Halal Fresh Food Market,https://www.tokopedia.com/halalfreshfood/serai-segar-sereh?extParam=ivf%3Dfalse%26src%3Dsearch
12,Sereh Serai Sayur Fresh,5000,200,gram,Sayur Online Purwokerto,https://www.tokopedia.com/sayuronlinepurwokerto/sayuran-segar-sayur-fresh-purwokerto-sereh-serai-per-ikat?extParam=ivf%3Dfalse%26src%3Dsearch
12,Daun Sereh Super,5000,200,gram,Addi Online,https://www.tokopedia.com/addionline/daun-sereh-super?extParam=ivf%3Dfalse%26src%3Dsearch
12,Fresh Sereh Segar Organik,4200,250,gram,Sayur Kendal - Menteng,https://www.tokopedia.com/sayurkendal/fresh-sereh-segar-organik-sayurkendal-250gr?extParam=ivf%3Dfalse
12,Sereh Segar Fresh,3000,1,ikat,Rahmatika Freshmart,https://www.tokopedia.com/rahmatikamart/sereh-segar-1-ikat-serai-1-ikat-fresh?extParam=ivf%3Dfalse
12,Sereh Organik,9900,250,gram,Sesa Official,https://www.tokopedia.com/sesaofficial/sereh-organik-250-g?extParam=ivf%3Dfalse
12,Sereh Gajah Jumbo,7000,250,gram,Rempah Homecalist,https://www.tokopedia.com/homecalist/sereh-gajah-jumbo-sayuran-segar-1-2-kg?src=topads
12,Daun Sereh Serai Fresh,5000,250,gram,Tokosayursembako99,https://www.tokopedia.com/tokosayursembako99/daun-sereh-serai-fresh-segar-surabaya-250-gram?extParam=ivf%3Dfalse
12,Serai Bangkok,7000,500,gram,D'Rempah Rempah,https://www.tokopedia.com/drempah-2/serai-bangkok-sereh-jumbo-daun-sereh-segar-wangi?extParam=ivf%3Dfalse
14,Daun Kelor Segar,20000,250,gram,Murahjahya,https://shopee.co.id/Promo-daun-kelor-segar-langsung-di-petik-i.200045630.7891759540?sp_atk=a36b490c-f15a-4c38-960b-a47131f3dadb
14,Daun Kelor Baru,15000,1,ikat,Dapoer FN,https://shopee.co.id/DAUN-KELOR-SEGAR-BARU-PETIK-PER-IKAT-i.280475304.7064012730?sp_atk=882e9624-bec0-488d-9e18-b352fd2e2fdd
14,Daun Kelor Segar di Petik,8000,250,gram,Karset_askar,https://shopee.co.id/DAUN-KELOR-segar-250-gram-Daun-kelor-segar-di-petik-menjelang-pengiriman-i.318997850.9255885501?sp_atk=948ac13f-da06-4a01-a0c7-82795ffb100d
14,Daun Kelor Sayuran Segar,5000,50,gram,Sitishopp,https://shopee.co.id/Daun-kelor-sayuran-segar(50gram)-i.25217775.3951357447?sp_atk=cc8e7b28-7a17-4504-87a4-a7e3e9c78643
